,광역시도,시군,pop,moon,hong,ahn
92,인천광역시,금천구,155010,67423.0,31106.0,36695.0
93,인천광역시,영등포구,248833,105834.0,53615.0,53994.0
94,인천광역시,동작구,276685,121722.0,54431.0,60305.0
95,인천광역시,관악구,351240,159854.0,59914.0,79495.0
96,인천광역시,서초구,292916,106416.0,74891.0,63977.0
97,인천광역시,강남구,365642,128927.0,97639.0,80201.0
98,인천광역시,송파구,441198,177328.0,98549.0,99018.0
99,인천광역시,강동구,297476,122511.0,65893.0,67499.0
100,광주광역시,종로구,102566,42512.0,22325.0,22313.0
101,광주광역시,중구,82852,34062.0,17901.0,19372.0
102,광주광역시,용산구,148157,58081.0,35230.0,32109.0
103,광주광역시,성동구,203175,86686.0,40566.0,45674.0
104,광주광역시,광진구,240030,105512.0,46368.0,52824.0
105,광주광역시,동대문구,236092,98958.0,51631.0,53359.0
106,광주광역시,중랑구,265706,111450.0,56545.0,62778.0
107,광주광역시,성북구,295866,129263.0,57584.0,66518.0
108,광주광역시,강북구,210614,89645.0,42268.0,51669.0
109,광주광역시,도봉구,229233,94898.0,47461.0,55600.0
110,광주광역시,노원구,374213,158167.0,67590.0,96325.0
111,광주광역시,은평구,317275,140180.0,60109.0,72582.0
112,광주광역시,서대문구,212076,93768.0,40513.0,46237.0
113,광주광역시,마포구,256992,117336.0,46547.0,52545.0
114,광주광역시,양천구,310886,133853.0,60814.0,71816.0
115,광주광역시,강서구,397108,175882.0,76601.0,88128.0
116,광주광역시,구로구,278805,121077.0,59194.0,61734.0
117,광주광역시,금천구,155010,67423.0,31106.0,36695.0
118,광주광역시,영등포구,248833,105834.0,53615.0,53994.0
119,광주광역시,동작구,276685,121722.0,54431.0,60305.0
120,광주광역시,관악구,351240,159854.0,59914.0,79495.0
121,광주광역시,서초구,292916,106416.0,74891.0,63977.0
122,광주광역시,강남구,365642,128927.0,97639.0,80201.0
123,광주광역시,송파구,441198,177328.0,98549.0,99018.0
124,광주광역시,강동구,297476,122511.0,65893.0,67499.0
125,대전광역시,종로구,102566,42512.0,22325.0,22313.0
126,대전광역시,중구,82852,34062.0,17901.0,19372.0
127,대전광역시,용산구,148157,58081.0,35230.0,32109.0
128,대전광역시,성동구,203175,86686.0,40566.0,45674.0
129,대전광역시,광진구,240030,105512.0,46368.0,52824.0
130,대전광역시,동대문구,236092,98958.0,51631.0,53359.0
131,대전광역시,중랑구,265706,111450.0,56545.0,62778.0
132,대전광역시,성북구,295866,129263.0,57584.0,66518.0
133,대전광역시,강북구,210614,89645.0,42268.0,51669.0
134,대전광역시,도봉구,229233,94898.0,47461.0,55600.0
135,대전광역시,노원구,374213,158167.0,67590.0,96325.0
136,대전광역시,은평구,317275,140180.0,60109.0,72582.0
137,대전광역시,서대문구,212076,93768.0,40513.0,46237.0
138,대전광역시,마포구,256992,117336.0,46547.0,52545.0
139,대전광역시,양천구,310886,133853.0,60814.0,71816.0
140,대전광역시,강서구,397108,175882.0,76601.0,88128.0
141,대전광역시,구로구,278805,121077.0,59194.0,61734.0
142,대전광역시,금천구,155010,67423.0,31106.0,36695.0
143,대전광역시,영등포구,248833,105834.0,53615.0,53994.0
144,대전광역시,동작구,276685,121722.0,54431.0,60305.0
145,대전광역시,관악구,351240,159854.0,59914.0,79495.0
146,대전광역시,서초구,292916,106416.0,74891.0,63977.0
147,대전광역시,강남구,365642,128927.0,97639.0,80201.0
148,대전광역시,송파구,441198,177328.0,98549.0,99018.0
149,대전광역시,강동구,297476,122511.0,65893.0,67499.0
150,울산광역시,종로구,102566,42512.0,22325.0,22313.0
151,울산광역시,중구,82852,34062.0,17901.0,19372.0
152,울산광역시,용산구,148157,58081.0,35230.0,32109.0
153,울산광역시,성동구,203175,86686.0,40566.0,45674.0
154,울산광역시,광진구,240030,105512.0,46368.0,52824.0
155,울산광역시,동대문구,236092,98958.0,51631.0,53359.0
156,울산광역시,중랑구,265706,111450.0,56545.0,62778.0
157,울산광역시,성북구,295866,129263.0,57584.0,66518.0
158,울산광역시,강북구,210614,89645.0,42268.0,51669.0
159,울산광역시,도봉구,229233,94898.0,47461.0,55600.0
160,울산광역시,노원구,374213,158167.0,67590.0,96325.0
161,울산광역시,은평구,317275,140180.0,60109.0,72582.0
162,울산광역시,서대문구,212076,93768.0,40513.0,46237.0
163,울산광역시,마포구,256992,117336.0,46547.0,52545.0
164,울산광역시,양천구,310886,133853.0,60814.0,71816.0
165,울산광역시,강서구,397108,175882.0,76601.0,88128.0
166,울산광역시,구로구,278805,121077.0,59194.0,61734.0
167,울산광역시,금천구,155010,67423.0,31106.0,36695.0
168,울산광역시,영등포구,248833,105834.0,53615.0,53994.0
169,울산광역시,동작구,276685,121722.0,54431.0,60305.0
170,울산광역시,관악구,351240,159854.0,59914.0,79495.0
171,울산광역시,서초구,292916,106416.0,74891.0,63977.0
172,울산광역시,강남구,365642,128927.0,97639.0,80201.0
173,울산광역시,송파구,441198,177328.0,98549.0,99018.0
174,울산광역시,강동구,297476,122511.0,65893.0,67499.0
175,세종특별자치시,종로구,102566,42512.0,22325.0,22313.0
176,세종특별자치시,중구,82852,34062.0,17901.0,19372.0
177,세종특별자치시,용산구,148157,58081.0,35230.0,32109.0
178,세종특별자치시,성동구,203175,86686.0,40566.0,45674.0
179,세종특별자치시,광진구,240030,105512.0,46368.0,52824.0
180,세종특별자치시,동대문구,236092,98958.0,51631.0,53359.0
181,세종특별자치시,중랑구,265706,111450.0,56545.0,62778.0
182,세종특별자치시,성북구,295866,129263.0,57584.0,66518.0
183,세종특별자치시,강북구,210614,89645.0,42268.0,51669.0
184,세종특별자치시,도봉구,229233,94898.0,47461.0,55600.0
185,세종특별자치시,노원구,374213,158167.0,67590.0,96325.0
186,세종특별자치시,은평구,317275,140180.0,60109.0,72582.0
187,세종특별자치시,서대문구,212076,93768.0,40513.0,46237.0
188,세종특별자치시,마포구,256992,117336.0,46547.0,52545.0
189,세종특별자치시,양천구,310886,133853.0,60814.0,71816.0
190,세종특별자치시,강서구,397108,175882.0,76601.0,88128.0
191,세종특별자치시,구로구,278805,121077.0,59194.0,61734.0
192,세종특별자치시,금천구,155010,67423.0,31106.0,36695.0
193,세종특별자치시,영등포구,248833,105834.0,53615.0,53994.0
194,세종특별자치시,동작구,276685,121722.0,54431.0,60305.0
195,세종특별자치시,관악구,351240,159854.0,59914.0,79495.0
196,세종특별자치시,서초구,292916,106416.0,74891.0,63977.0
197,세종특별자치시,강남구,365642,128927.0,97639.0,80201.0
198,세종특별자치시,송파구,441198,177328.0,98549.0,99018.0
199,세종특별자치시,강동구,297476,122511.0,65893.0,67499.0
200,경기도,종로구,102566,42512.0,22325.0,22313.0
201,경기도,중구,82852,34062.0,17901.0,19372.0
202,경기도,용산구,148157,58081.0,35230.0,32109.0
203,경기도,성동구,203175,86686.0,40566.0,45674.0
204,경기도,광진구,240030,105512.0,46368.0,52824.0
205,경기도,동대문구,236092,98958.0,51631.0,53359.0
206,경기도,중랑구,265706,111450.0,56545.0,62778.0
207,경기도,성북구,295866,129263.0,57584.0,66518.0
208,경기도,강북구,210614,89645.0,42268.0,51669.0
209,경기도,도봉구,229233,94898.0,47461.0,55600.0
210,경기도,노원구,374213,158167.0,67590.0,96325.0
211,경기도,은평구,317275,140180.0,60109.0,72582.0
212,경기도,서대문구,212076,93768.0,40513.0,46237.0
213,경기도,마포구,256992,117336.0,46547.0,52545.0
214,경기도,양천구,310886,133853.0,60814.0,71816.0
215,경기도,강서구,397108,175882.0,76601.0,88128.0
216,경기도,구로구,278805,121077.0,59194.0,61734.0
217,경기도,금천구,155010,67423.0,31106.0,36695.0
218,경기도,영등포구,248833,105834.0,53615.0,53994.0
219,경기도,동작구,276685,121722.0,54431.0,60305.0
220,경기도,관악구,351240,159854.0,59914.0,79495.0
221,경기도,서초구,292916,106416.0,74891.0,63977.0
222,경기도,강남구,365642,128927.0,97639.0,80201.0
223,경기도,송파구,441198,177328.0,98549.0,99018.0
224,경기도,강동구,297476,122511.0,65893.0,67499.0
225,강원도,종로구,102566,42512.0,22325.0,22313.0
226,강원도,중구,82852,34062.0,17901.0,19372.0
227,강원도,용산구,148157,58081.0,35230.0,32109.0
228,강원도,성동구,203175,86686.0,40566.0,45674.0
229,강원도,광진구,240030,105512.0,46368.0,52824.0
230,강원도,동대문구,236092,98958.0,51631.0,53359.0
231,강원도,중랑구,265706,111450.0,56545.0,62778.0
